NEU_E3	NEU_E3	NEU_E3	NEU_E4	NEU_E4	NEU_E4
ACMSD	0	0	0	0	0	0
LOC100129961	5	11	4	6	8	5
CCNT2	405	507	413	646	484	602
MAP3K19	0	0	0	0	0	0
RAB3GAP1	757	823	830	914	897	996
ZRANB3	30	48	44	67	67	55
R3HDM1	948	1291	1383	1956	1648	1564
MIR128-1	0	0	0	0	0	0
UBXN4	859	1027	958	1100	994	873
LCT	0	0	0	0	0	0
LOC100507600	0	0	0	0	0	0
MCM6	203	287	198	237	234	258
DARS	533	538	405	463	447	410
CXCR4	353	218	173	222	189	119
THSD7B	244	244	202	271	319	250
HNMT	0	1	1	1	3	2
SPOPL	211	227	237	244	293	198
NXPH2	66	5	1	2	1	0
YY1P2	0	0	0	0	0	0
LRP1B	74	58	88	126	124	207
KYNU	0	0	1	0	1	0
ARHGAP15	1	0	0	0	0	0
GTDC1	80	136	127	140	167	136
ZEB2	26	330	87	138	124	188
ZEB2-AS1	0	1	0	1	0	2
DKFZp686O1327	0	1	1	2	1	3
PABPC1P2	0	0	1	0	0	0
ACVR2A	731	1132	1410	1287	1353	1341
ORC4	714	904	970	933	984	981
MBD5	224	326	264	421	331	355
EPC2	310	515	518	534	531	441
KIF5C	10123	11633	12432	15293	13747	12204
LYPD6B	18	17	20	24	16	15
LYPD6	60	22	18	29	24	15
MMADHC	482	704	651	513	702	639
RND3	630	506	421	406	529	499
RBM43	13	11	10	10	8	12
NMI	4	0	3	1	0	2
TNFAIP6	0	1	0	0	0	0
MIR4773-2	0	0	0	0	0	0
MIR4773-1	0	0	0	0	0	0
RIF1	259	350	314	425	339	322
NEB	107	81	108	214	152	149
ARL5A	272	332	419	440	457	413
CACNB4	258	214	277	457	315	284
STAM2	663	585	582	689	753	642
FMNL2	429	755	553	705	667	745
PRPF40A	554	931	612	792	623	691
ARL6IP6	41	112	47	62	62	49
RPRM	992	739	720	800	696	1198
GALNT13	1247	681	926	1267	1056	719
LOC100144595	0	0	0	0	0	0
KCNJ3	495	374	633	598	633	442
NR4A2	21	24	6	7	3	2
GPD2	394	479	413	746	754	743
GALNT5	1	3	7	8	4	5
ERMN	0	0	1	1	1	0
CYTIP	3	2	0	3	3	2
ACVR1C	38	32	35	36	23	12
ACVR1	335	295	277	296	287	273
UPP2	4	6	7	12	10	0
CCDC148-AS1	0	0	0	0	0	0
CCDC148	18	16	17	23	19	13
PKP4	532	506	556	687	593	352
DAPL1	0	4	2	0	2	0
TANC1	18	51	13	21	22	51
WDSUB1	117	138	127	134	134	110
BAZ2B	781	1203	1021	1459	1219	980
MARCH7	415	701	583	605	625	600
LY75-CD302	0	0	0	0	0	0
CD302	0	0	1	0	0	0
LY75	0	0	0	0	0	0
PLA2R1	25	11	9	9	5	8
ITGB6	1	1	1	1	3	1
RBMS1	660	692	630	759	854	925
MIR4785	0	0	0	0	0	0
TANK	332	393	404	350	420	326
PSMD14	731	1018	1047	843	1004	943
TBR1	7	18	10	3	8	3
AHCTF1P1	2	2	0	3	3	1
SLC4A10	692	646	700	906	757	426
DPP4	0	6	1	0	0	0
GCG	0	0	0	0	0	0
FAP	0	0	0	1	1	0
IFIH1	0	2	0	2	0	0
GCA	89	121	107	121	116	75
KCNH7	48	43	48	82	65	62
FIGN	52	120	67	144	79	36
GRB14	68	70	74	62	62	64
COBLL1	6	13	8	19	7	9
SNORA70F	0	0	0	0	0	0
SLC38A11	0	0	0	0	0	0
SCN3A	1843	1889	2242	3161	2955	2421
SCN2A	1648	1554	1963	2698	2625	1824
CSRNP3	1498	1972	2139	3149	2759	1911
GALNT3	1	4	0	3	1	5
LOC100506124	17	22	20	17	24	17
TTC21B	182	207	186	276	216	195
LOC100506134	0	0	0	1	0	0
SCN1A	249	120	143	269	216	151
SCN9A	1638	1222	1569	2273	1917	1994
SCN7A	610	387	480	734	720	655
XIRP2	0	2	1	1	0	2
B3GALT1	38	50	56	85	51	38
STK39	894	750	765	850	901	716
CERS6	1752	2473	2361	3004	2803	2384
MIR4774	0	0	0	0	0	0
CERS6-AS1	5	1	1	0	0	0
NOSTRIN	0	0	0	0	0	0
SPC25	0	24	5	5	6	3
G6PC2	0	0	0	0	0	0
ABCB11	0	0	0	0	0	0
DHRS9	0	0	0	0	0	1
LRP2	6	14	5	2	1	5
BBS5	151	122	109	119	137	120
KLHL41	12	11	16	10	12	5
FASTKD1	172	180	190	226	185	138
PPIG	444	611	495	619	603	461
CCDC173	5	10	6	5	9	7
PHOSPHO2	15	27	22	35	31	24
PHOSPHO2-KLHL23	0	0	0	0	0	0
KLHL23	14	10	8	9	9	4
SSB	861	1369	1283	1219	1285	982
METTL5	359	358	389	322	335	276
UBR3	773	949	1112	1362	1390	1152
MYO3B	0	2	1	1	1	0
LOC440925	0	0	0	0	1	0
SP5	0	1	0	0	0	0
LOC100505695	84	55	68	76	96	76
GAD1	27	52	109	78	77	48
GORASP2	735	886	910	796	860	912
TLK1	479	484	512	558	580	484
METTL8	73	101	99	142	126	114
DCAF17	329	273	280	378	343	286
CYBRD1	0	6	0	7	2	1
DYNC1I2	1365	1974	1710	1962	1863	1961
SLC25A12	451	431	480	467	555	409
HAT1	144	196	152	168	147	160
METAP1D	19	13	10	19	17	13
DLX1	0	12	0	1	0	1
DLX2	2	17	0	0	0	0
ITGA6	516	232	252	304	347	226
PDK1	1251	543	295	597	536	351
RAPGEF4-AS1	1	6	2	6	2	10
RAPGEF4	1150	607	750	931	1102	789
ZAK	9	57	15	30	20	13
MLK7-AS1	0	0	0	0	0	0
CDCA7	0	34	4	4	2	4
SP3	283	507	392	456	430	433
OLA1	1199	1488	1645	1693	1818	1404
LOC285084	0	0	0	0	0	0
SP9	0	0	0	0	1	1
CIR1	169	354	259	247	279	270
SCRN3	261	296	238	300	343	326
GPR155	598	512	412	647	461	568
WIPF1	54	88	60	58	60	98
CHRNA1	1	37	5	1	0	1
CHN1	731	1059	960	945	931	813
ATF2	902	1065	1009	1216	1290	919
MIR933	0	0	0	0	0	0
ATP5G3	1907	1482	1628	1523	1851	1721
KIAA1715	1227	820	836	1149	1059	1022
EVX2	6	11	4	10	2	5
HOXD13	0	0	1	0	0	0
HOXD12	0	0	0	0	0	0
HOXD11	1	0	0	0	0	3
HOXD10	0	0	2	1	0	2
HOXD9	5	21	5	15	7	16
HOXD8	6	7	7	11	6	12
HOXD-AS2	5	3	2	2	2	4
MIR10B	0	0	0	0	0	0
HOXD4	1	2	1	3	0	3
HOXD3	2	8	4	7	9	8
HOXD-AS1	18	18	11	11	25	60
HOXD1	9	4	12	14	26	64
MTX2	729	767	834	739	857	805
MIR1246	0	0	0	0	0	0
LOC375295	16	4	4	6	5	2
HNRNPA3	786	1520	1420	1362	1382	1416
MIR4444-1	0	0	0	0	0	0
NFE2L2	226	265	200	240	251	177
MIR3128	0	0	0	0	0	0
LOC100130691	86	39	70	78	65	54
AGPS	952	949	1014	1441	1215	1113
TTC30B	32	47	31	46	33	46
TTC30A	127	137	127	142	144	130
PDE11A	39	47	62	69	79	51
RBM45	75	93	68	93	102	71
OSBPL6	397	441	414	579	629	517
MIR548N	0	0	0	1	0	0
PRKRA	605	732	770	638	740	711
DFNB59	10	7	10	11	7	8
FKBP7	56	107	98	101	83	105
PLEKHA3	106	154	138	151	186	120
TTN-AS1	6	11	11	15	9	12
TTN	2	2	1	4	3	0
CCDC141	2	4	1	0	2	2
SESTD1	968	1320	1308	1989	1611	1800
ZNF385B	5	22	21	19	26	11
MIR1258	0	0	0	0	0	0
CWC22	130	184	191	215	177	124
UBE2E3	767	815	795	747	860	745
MIR4437	0	0	0	0	0	0
ITGA4	31	84	8	47	16	1
CERKL	2	54	7	7	3	1
NEUROD1	7	1073	84	179	78	41
SSFA2	150	186	57	149	70	75
PPP1R1C	73	66	95	90	191	441
PDE1A	29	161	54	62	48	22
DNAJC10	675	770	631	768	718	660
FRZB	1	41	9	10	6	9
NCKAP1	2111	2550	2550	2858	2844	2141
DUSP19	35	49	30	63	76	56
NUP35	44	97	83	64	103	76
ZNF804A	686	347	435	504	442	397
FSIP2	55	98	32	120	40	72
ZC3H15	893	1053	1118	1066	1292	920
ITGAV	191	399	313	342	328	240
FAM171B	1231	1161	1339	1898	1527	1347
ZSWIM2	3	2	2	7	4	1
CALCRL	17	47	24	58	36	10
TFPI	1	29	2	20	4	0
GULP1	32	59	10	27	20	8
MIR561	0	0	0	0	0	0
DIRC1	0	0	0	0	0	0
COL3A1	12	303	13	458	75	8
MIR1245A	0	0	0	0	0	0
MIR1245B	0	0	0	0	0	0
MIR3606	0	0	0	0	0	0
COL5A2	32	290	41	138	114	20
MIR3129	0	0	0	0	0	0
WDR75	272	323	263	329	356	274
SLC40A1	52	70	59	62	65	96
ASNSD1	671	614	645	627	797	647
ANKAR	9	8	7	13	13	6
OSGEPL1	73	93	86	77	83	74
ORMDL1	282	294	225	259	238	248
PMS1	164	202	179	234	231	155
MSTN	1	5	1	2	2	0
C2orf88	38	25	26	49	37	28
HIBCH	237	223	154	207	181	140
INPP1	332	191	244	250	255	241
MFSD6	892	606	770	857	995	781
TMEM194B	5	7	3	2	6	8
NAB1	250	246	201	236	273	140
GLS	2281	1931	2479	2556	3335	1561
STAT1	456	359	375	402	404	377
STAT4	60	39	30	56	38	22
MYO1B	595	570	590	688	662	632
NABP1	2	15	2	5	5	10
SDPR	0	0	1	0	0	1
TMEFF2	3745	1416	2082	1976	1942	2282
PCGEM1	0	0	0	0	0	0
SLC39A10	725	942	952	1270	1142	969
DNAH7	13	16	14	19	21	8
STK17B	11	14	6	8	12	18
HECW2	247	234	235	351	310	314
CCDC150	6	12	2	4	5	3
LOC100130452	0	0	0	0	0	0
GTF3C3	300	388	305	386	366	357
C2orf66	17	19	17	10	21	12
PGAP1	1490	2210	2334	3069	2703	1970
ANKRD44	99	168	184	205	233	163
SF3B1	1406	2449	1995	2424	2165	2244
COQ10B	306	235	272	223	288	234
HSPD1	1639	1968	1844	1624	1918	1536
HSPE1-MOB4	0	0	0	0	0	0
HSPE1	230	131	150	135	190	152
MOB4	0	0	0	0	1	1
RFTN2	1	39	5	2	5	0
MARS2	94	78	108	112	150	112
BOLL	0	0	0	0	0	0
PLCL1	504	582	478	640	585	637
SATB2	4	7	4	12	6	10
SATB2-AS1	0	0	0	0	0	0
FONG	9	1	4	2	4	4
C2orf69	327	375	421	449	426	367
TYW5	125	93	91	108	98	108
C2orf47	87	74	103	90	106	103
SPATS2L	655	490	493	548	619	351
KCTD18	92	78	52	55	72	43
SGOL2	47	59	32	39	46	31
AOX1	7	1	2	3	5	3
AOX2P	0	0	0	0	0	0
LOC100507140	0	0	0	0	0	0
BZW1	536	513	525	589	562	456
CLK1	226	397	340	310	436	277
PPIL3	186	241	211	221	240	201
NIF3L1	168	200	144	158	159	182
ORC2	88	112	67	102	70	69
FAM126B	604	659	688	996	968	623
NDUFB3	396	348	420	339	415	342
CFLAR	147	332	238	308	256	329
CFLAR-AS1	0	0	0	0	0	0
CASP10	0	1	2	0	1	0
CASP8	0	4	1	2	0	0
ALS2CR12	2	4	0	7	2	3
TRAK2	776	822	710	901	954	1109
STRADB	216	267	341	274	322	228
ALS2CR11	0	0	0	1	0	0
TMEM237	484	386	394	402	455	431
MPP4	1	1	0	0	0	0
ALS2	473	638	598	736	682	726
CDK15	4	12	9	8	13	36
FZD7	117	92	82	75	44	56
SUMO1	372	679	697	579	774	597
NOP58	340	534	417	405	472	393
SNORD70	0	0	0	0	0	0
SNORD11B	0	0	0	0	0	0
SNORD11	0	1	0	0	0	0
BMPR2	2473	2615	2764	4217	3322	2775
FAM117B	280	736	649	823	793	903
ICA1L	457	443	419	674	477	453
WDR12	281	307	313	279	304	281
ALS2CR8	127	122	103	159	106	97
NBEAL1	53	39	27	65	43	52
CYP20A1	125	219	148	226	241	221
ABI2	2233	3041	3031	3685	3331	2778
RAPH1	1450	1232	1453	2149	1705	1353
CD28	0	1	2	1	0	0
CTLA4	0	0	0	0	0	0
ICOS	0	0	0	0	0	0
PARD3B	14	21	1	10	6	0
NRP2	1589	413	342	555	329	112
INO80D	176	269	204	343	289	250
GCSHP3	105	168	171	168	187	151
NDUFS1	946	932	955	1121	955	913
EEF1B2	420	335	341	340	412	353
SNORD51	0	2	0	0	0	0
SNORA41	0	0	0	0	0	0
GPR1	0	1	0	2	0	0
ZDBF2	560	474	467	780	660	556
ADAM23	608	457	496	739	641	469
LOC200726	2	4	6	1	6	2
DYTN	0	0	0	0	0	1
MDH1B	16	16	19	14	21	10
FASTKD2	517	497	555	521	530	492
MIR3130-2	0	0	0	0	0	0
MIR3130-1	0	0	0	0	0	0
CPO	4	3	1	2	2	2
KLF7	1236	1299	1221	1673	1338	1511
MIR2355	0	0	0	0	0	0
CREB1	433	624	521	743	700	551
METTL21A	85	100	74	87	97	84
CCNYL1	109	199	163	190	159	182
MIR4775	0	0	0	0	0	0
FZD5	96	46	68	59	40	47
PLEKHM3	579	507	486	884	646	605
LOC100507443	0	0	0	0	0	0
CRYGD	0	1	0	0	0	0
CRYGC	0	1	0	3	0	0
CRYGB	0	0	0	0	0	0
CRYGA	0	3	0	0	3	0
C2orf80	216	294	418	347	392	293
IDH1	687	1440	1412	1467	1321	1471
IDH1-AS1	1	1	2	0	0	0
PIKFYVE	430	523	403	746	563	493
PTH2R	2	1	4	1	1	0
MAP2	16141	15378	16420	25456	20850	14687
UNC80	732	447	453	950	653	455
RPE	174	161	132	151	174	136
KANSL1L	71	125	98	134	139	105
ACADL	7	0	1	3	2	1
MYL1	1	5	0	3	0	0
LANCL1	1767	1654	1555	2234	1988	1855
CPS1	8	120	4	28	10	9
CPS1-IT1	0	0	0	0	0	0
ERBB4	39	17	21	37	20	13
MIR548F2	0	0	0	0	0	0
MIR4776-2	0	0	0	0	0	0
MIR4776-1	0	0	0	0	0	0
IKZF2	67	64	39	116	69	83
LOC100130451	5	5	5	3	4	7
SPAG16	134	179	145	164	185	147
VWC2L	30	12	24	26	23	6
VWC2L-IT1	0	0	0	1	2	0
BARD1	0	15	2	8	5	1
ABCA12	3	2	11	8	10	4
ATIC	331	503	415	427	467	458
FN1	74	812	95	766	390	48
LINC00607	1	1	0	0	0	1
MREG	43	62	49	54	64	61
PECR	53	55	27	29	35	34
TMEM169	676	812	766	842	871	651
XRCC5	2076	3215	2778	3268	2937	3645
PKI55	542	942	1267	1083	1647	1061
MARCH4	1084	1253	1387	1687	1623	1625
SMARCAL1	145	192	166	179	243	196
RPL37A	5454	5320	5196	4408	5538	6015
IGFBP2	1302	1139	294	678	451	280
IGFBP5	306	233	34	111	88	90
TNP1	0	0	0	0	0	1
DIRC3	12	13	17	12	17	13
TNS1	864	758	737	1116	772	545
RUFY4	0	0	0	0	0	1
CXCR2P1	2	0	0	0	0	0
CXCR2	0	0	1	1	0	0
CXCR1	0	0	0	0	0	0
ARPC2	2126	2402	2600	2493	2513	2406
GPBAR1	1	2	3	1	1	5
AAMP	651	678	667	665	657	611
PNKD	464	399	405	430	444	303
TMBIM1	2	13	2	3	0	1
C2orf62	0	0	0	0	0	0
SLC11A1	0	0	0	1	0	0
CTDSP1	5	21	4	6	4	7
MIR26B	0	0	0	0	0	0
VIL1	0	0	0	0	0	0
USP37	198	224	192	260	276	265
RQCD1	383	498	540	481	494	510
PLCD4	75	50	22	42	23	76
ZNF142	322	328	330	434	410	463
BCS1L	246	228	291	230	295	246
RNF25	204	216	227	240	233	192
STK36	59	94	55	73	54	44
TTLL4	99	125	121	157	135	132
CYP27A1	1	19	11	13	14	15
PRKAG3	0	0	1	0	0	0
WNT6	8	1	7	6	3	2
WNT10A	4	1	2	2	2	4
CDK5R2	2186	1824	2362	2203	2295	1889
LINC00608	0	0	0	0	0	0
FEV	15	8	8	7	8	9
CRYBA2	1	2	2	2	2	1
MIR375	0	0	0	0	0	0
LOC100129175	2	1	2	1	2	1
CCDC108	10	16	10	13	10	6
IHH	1	0	0	2	0	0
MIR3131	0	0	0	0	0	0
NHEJ1	89	91	80	77	87	108
SLC23A3	1	1	0	0	0	0
CNPPD1	588	620	548	599	547	666
FAM134A	2692	2190	2554	2475	2996	2496
ZFAND2B	139	142	115	142	144	144
ABCB6	315	185	163	213	146	133
ATG9A	948	826	933	972	1129	954
ANKZF1	165	188	101	148	138	124
GLB1L	37	34	32	44	24	22
STK16	171	170	178	189	159	157
TUBA4A	957	701	776	578	656	528
TUBA4B	0	3	1	1	1	0
DNAJB2	1260	1343	874	1260	963	940
PTPRN	6570	2483	2799	3231	3155	2335
MIR153-1	0	0	0	0	0	0
RESP18	14	6	5	5	7	2
DNPEP	300	184	165	213	168	195
DES	1	14	17	14	25	16
SPEG	337	273	192	333	215	234
GMPPA	115	68	72	70	73	51
ASIC4	401	748	638	954	633	103
CHPF	1659	894	924	941	1065	753
TMEM198	196	193	186	197	202	145
MIR3132	0	0	0	1	0	0
OBSL1	957	706	409	785	648	567
INHA	21	8	4	5	1	6
STK11IP	125	115	94	135	107	123
SLC4A3	1069	699	815	995	1117	852
MIR4268	0	0	0	0	0	0
EPHA4	144	173	173	248	447	176
PAX3	2	4	2	2	3	2
CCDC140	0	0	0	0	0	0
SGPP2	91	28	27	55	39	51
FARSB	809	715	825	753	848	690
MOGAT1	0	0	1	0	0	1
ACSL3	1827	1950	2150	2617	2375	1886
KCNE4	0	3	0	0	0	1
SCG2	22014	4022	5616	5815	6724	1796
AP1S3	88	51	47	81	51	48
WDFY1	544	456	463	476	462	447
MRPL44	405	437	444	437	583	450
SERPINE2	836	612	780	717	785	832
FAM124B	0	0	2	1	2	2
CUL3	995	1389	1355	1351	1458	1250
DOCK10	83	126	69	109	105	144
MIR4439	0	0	0	0	0	0
NYAP2	173	97	93	167	144	67
LOC646736	0	0	0	0	0	0
MIR5702	0	0	0	0	0	0
IRS1	339	407	456	518	489	196
RHBDD1	183	195	138	212	175	111
COL4A4	9	4	4	10	2	0
COL4A3	4	3	1	5	0	0
MFF	827	972	1002	943	1091	834
TM4SF20	0	0	0	0	0	0
MIR5703	0	0	0	0	0	0
AGFG1	608	787	767	890	921	850
C2orf83	0	0	0	0	0	0
SLC19A3	22	17	14	5	14	7
CCL20	0	0	0	0	0	0
DAW1	2	1	9	2	3	3
SPHKAP	638	204	193	315	345	212
PID1	435	352	410	487	506	405
DNER	5033	5190	7998	7395	9219	5681
TRIP12	939	1205	1086	1417	1286	1120
FBXO36	57	48	43	67	56	44
SLC16A14	930	1588	1945	1876	1965	2333
SP110	0	1	0	4	0	0
SP140	0	0	0	0	1	1
SP140L	0	2	0	0	1	0
SP100	0	6	0	3	0	2
LOC151475	0	0	0	0	0	0
CAB39	1096	1205	1283	1276	1492	1123
ITM2C	1692	2242	2782	2473	2918	3558
LOC151484	1	4	6	7	1	1
GPR55	0	0	0	0	0	0
LOC348761	2	0	0	1	0	0
SPATA3	0	0	0	0	0	0
C2orf72	389	308	332	366	385	305
PSMD1	1548	2108	2462	2126	2491	2342
HTR2B	0	1	1	0	1	0
ARMC9	169	208	195	213	219	188
MIR4777	0	0	0	0	0	0
B3GNT7	22	27	31	27	21	29
NCL	2776	4749	4509	4150	4608	4063
SNORA75	0	0	0	0	0	0
SNORD20	0	0	0	0	0	0
SNORD82	0	0	0	0	0	0
LINC00471	17	12	5	9	8	7
NMUR1	6	3	2	10	3	6
C2orf57	0	1	0	0	1	0
PTMA	863	1806	1599	1485	1626	1342
PDE6D	470	479	561	476	577	530
COPS7B	363	422	457	444	407	440
MIR1471	0	0	0	0	0	0
NPPC	74	21	61	33	50	20
DIS3L2	302	343	297	378	304	278
ALPP	0	0	0	0	0	0
ECEL1P2	1	3	2	1	0	0
ALPPL2	0	0	0	0	0	0
ALPI	0	0	0	0	0	0
ECEL1	3586	889	848	1325	1282	972
PRSS56	43	8	4	14	5	4
CHRND	8	25	5	5	2	3
CHRNG	0	18	0	4	1	0
TIGD1	106	195	165	187	194	163
MIR5001	0	0	0	0	0	0
EIF4E2	181	201	162	205	181	167
EFHD1	29	42	42	36	37	40
GIGYF2	636	973	986	1053	1018	944
KCNJ13	1	2	1	3	0	8
C2orf82	13	3	4	6	7	5
NGEF	505	288	305	379	416	202
NEU2	0	0	0	0	0	0
INPP5D	4	7	2	1	0	1
ATG16L1	506	377	405	434	449	406
SCARNA5	0	0	1	0	0	0
SCARNA6	0	0	0	0	0	0
SAG	0	1	0	0	1	0
DGKD	1474	1175	1162	1386	1221	1348
USP40	106	111	51	82	53	80
UGT1A8	0	0	0	0	0	0
UGT1A10	0	0	0	0	0	1
UGT1A9	0	0	0	0	0	0
UGT1A7	0	0	0	0	0	0
UGT1A6	0	0	0	0	0	0
UGT1A5	0	0	0	0	0	0
UGT1A4	0	0	0	0	0	0
UGT1A3	0	0	0	0	0	0
DNAJB3	0	0	0	0	0	0
LOC100286922	0	0	0	0	0	0
UGT1A1	0	0	0	0	0	0
HJURP	0	15	1	2	0	1
MSL3P1	12	41	33	52	52	57
TRPM8	47	9	37	30	57	265
SPP2	0	0	0	0	0	0
ARL4C	2164	1872	2084	2282	2538	1639
SH3BP4	302	197	169	213	183	133
AGAP1	3594	3018	3408	4748	3898	3420
GBX2	115	84	96	150	152	64
ASB18	2	3	0	3	2	3
IQCA1	25	11	21	21	27	8
CXCR7	3	8	0	2	3	3
COPS8	1354	1130	1312	1282	1535	1129
COL6A3	1	7	0	3	0	0
MLPH	8	3	0	2	1	2
PRLH	60	0	0	1	2	0
RAB17	7	6	6	4	7	7
LRRFIP1	482	624	604	706	656	620
RBM44	1	5	2	6	2	6
RAMP1	332	69	71	106	112	32
UBE2F	414	304	353	307	423	258
UBE2F-SCLY	0	0	0	0	1	0
SCLY	0	0	0	0	0	1
ESPNL	2	1	1	0	1	0
KLHL30	14	8	4	3	6	10
ILKAP	176	202	195	179	205	188
LOC151174	51	18	24	30	23	17
LOC643387	0	1	1	2	2	0
HES6	226	712	259	415	262	274
PER2	126	111	117	125	127	133
TRAF3IP1	192	234	283	330	308	266
ASB1	573	422	477	452	529	516
LOC151171	0	0	0	0	0	0
TWIST2	0	1	0	1	0	0
FLJ43879	0	0	1	0	0	0
HDAC4	356	314	297	264	225	285
MIR4440	0	0	0	0	0	0
MIR4441	0	0	0	0	0	0
MGC16025	0	0	2	1	0	1
MIR4269	0	0	0	0	0	0
MIR2467	0	0	0	0	0	0
LOC150935	0	1	0	0	0	1
MIR4786	0	0	0	0	0	0
NDUFA10	976	987	1029	525	611	543
OR6B2	0	0	0	0	0	0
PRR21	0	0	0	0	0	0
OR6B3	0	0	0	0	0	0
MYEOV2	370	285	364	153	282	167
OTOS	0	0	0	0	0	0
GPC1	1083	970	1045	696	628	620
PP14571	14	10	9	4	6	4
MIR149	3	0	0	0	0	0
ANKMY1	50	16	26	16	14	15
DUSP28	49	53	67	37	40	36
RNPEPL1	107	129	106	76	85	81
CAPN10	153	179	126	90	83	80
GPR35	2	8	4	3	0	1
AQP12B	0	0	0	0	0	0
AQP12A	0	0	0	0	0	0
KIF1A	21382	15547	17684	13004	12084	10676
AGXT	0	0	0	0	0	0
C2orf54	0	2	0	0	0	0
LOC200772	0	0	0	0	0	0
SNED1	55	25	19	25	20	22
MTERFD2	332	381	401	205	238	208
PASK	104	161	135	99	69	87
PPP1R7	610	694	799	370	481	374
ANO7	20	2	7	6	5	1
HDLBP	3661	3465	3114	2078	2037	1963
SEPT2	725	1717	819	616	576	515
FARP2	165	178	153	135	106	98
STK25	1282	1298	1349	863	889	770
BOK-AS1	0	0	1	0	0	0
BOK	532	290	301	273	341	179
THAP4	439	411	488	260	259	233
ATG4B	678	817	835	458	525	496
DTYMK	106	135	107	60	58	52
ING5	316	222	250	136	133	93
D2HGDH	90	66	40	24	32	27
GAL3ST2	0	0	0	1	1	0
NEU4	6	1	1	3	0	3
PDCD1	0	0	0	0	0	0
CXXC11	34	35	37	36	29	14
LOC728323	23	19	19	14	15	9
DEFB125	0	0	0	0	0	0
DEFB126	0	0	0	0	0	0
DEFB127	0	0	0	0	0	0
DEFB128	0	0	0	0	0	0
DEFB129	0	0	0	0	0	0
DEFB132	0	0	0	0	0	0
C20orf96	111	133	118	95	98	135
ZCCHC3	267	387	344	333	357	310
SOX12	1126	1686	1558	1763	1819	1699
NRSN2	1501	951	1045	1050	1194	1071
TRIB3	252	264	310	264	293	279
RBCK1	306	322	266	300	217	278
TBC1D20	451	592	566	522	556	631
CSNK2A1	1011	1128	1108	1218	1229	1250
TCF15	20	47	37	33	41	34
SRXN1	431	257	323	290	336	367
SCRT2	75	335	184	214	250	349
SLC52A3	0	0	0	0	0	0
FAM110A	96	228	215	174	204	263
ANGPT4	6	4	1	11	4	5
RSPO4	334	151	192	220	309	223
PSMF1	1237	1186	1256	1191	1244	1415
TMEM74B	252	192	157	260	170	168
C20orf202	3	1	1	5	4	1
RAD21L1	0	0	0	1	1	0
SNPH	1135	754	887	904	913	928
SDCBP2	0	0	0	0	0	1
FKBP1A-SDCBP2	0	0	0	0	0	0
SDCBP2-AS1	17	11	7	9	15	6
FKBP1A	973	1378	1505	1255	1551	1443
NSFL1C	858	1044	1120	1055	990	1021
SIRPB2	0	0	0	0	0	0
SIRPD	0	0	0	0	0	0
SIRPB1	0	0	1	0	0	2
SIRPG	0	0	0	0	0	0
LOC100289473	0	0	0	0	0	0
SIRPA	167	197	233	237	199	197
PDYN	36	77	134	74	137	45
STK35	386	454	357	509	413	440
TGM3	2	2	5	3	1	2
TGM6	0	0	0	0	0	0
SNRPB	515	467	375	386	374	433
SNORD119	0	0	0	0	0	0
ZNF343	76	80	57	87	74	56
TMC2	2	0	1	3	1	3
NOP56	913	1042	1111	990	1121	905
MIR1292	0	0	0	0	0	0
SNORD110	0	2	2	0	0	0
SNORA51	0	0	0	0	0	0
SNORD86	0	0	0	0	0	0
SNORD56	0	0	0	0	0	0
SNORD57	1	2	0	0	0	4
IDH3B	607	581	637	520	568	534
EBF4	344	250	195	324	212	230
CPXM1	9	93	38	50	24	44
C20orf141	0	0	0	0	0	0
TMEM239	0	0	0	0	0	0
PCED1A	332	297	191	339	203	210
VPS16	436	459	415	485	418	477
PTPRA	2478	2634	2793	2982	2930	2578
GNRH2	0	2	0	3	0	0
MRPS26	349	290	356	362	322	289
OXT	0	0	0	0	3	0
AVP	0	0	0	0	2	1
UBOX5-AS1	0	0	0	0	0	0
UBOX5	128	148	143	124	124	166
FASTKD5	176	225	298	246	357	270
PROSAPIP1	1659	1137	1183	1512	1256	1127
DDRGK1	401	272	285	319	310	291
ITPA	193	183	176	178	180	181
SLC4A11	4	3	6	7	0	3
C20orf194	844	899	895	1192	1131	934
ATRN	1657	1510	1724	2290	2079	1915
GFRA4	3	0	0	2	2	1
ADAM33	9	11	1	13	5	1
SIGLEC1	6	7	4	1	3	0
HSPA12B	13	3	4	5	0	2
C20orf27	563	551	627	595	705	735
SPEF1	24	7	9	8	4	1
CENPB	516	568	673	567	576	687
CDC25B	324	748	368	434	377	408
AP5S1	85	65	75	62	71	80
MAVS	482	569	430	501	547	533
PANK2	228	276	281	248	279	297
MIR103A2	0	0	0	0	4	1
MIR103B2	0	0	0	0	0	0
RNF24	248	304	343	439	373	430
SMOX	100	117	143	128	125	144
LOC728228	0	0	0	0	0	0
ADRA1D	11	8	19	18	21	7
PRNP	2094	2099	2494	2363	2696	2590
PRND	1	7	1	0	0	1
PRNT	0	0	0	0	0	0
RASSF2	125	321	267	344	358	437
SLC23A2	1405	1066	1354	1482	1595	1213
TMEM230	479	401	482	404	496	408
PCNA	118	246	164	110	169	124
PCNA-AS1	0	0	0	0	0	0
CDS2	2703	2665	3100	3898	3871	3862
PROKR2	9	22	27	28	31	20
LINC00658	0	0	0	0	0	0
LOC643406	0	0	0	0	0	0
LINC00654	1	2	3	4	2	3
GPCPD1	631	697	738	735	696	780
