MIC_E3	MIC_E3	MIC_E3	MIC_E3	MIC_E4	MIC_E4	MIC_E4	MIC_E4
ALMS1	596	452	550	700	153	427	485	539
NAT8	0	0	0	0	0	0	0	0
ALMS1P	0	1	1	2	0	0	0	1
NAT8B	2	0	5	2	2	4	6	5
TPRKB	374	292	388	368	341	353	274	309
DUSP11	676	587	689	747	578	710	675	622
C2orf78	0	0	0	0	0	0	0	0
STAMBP	1052	913	981	984	798	974	1068	1150
ACTG2	684	1519	1190	871	1499	124	2	3
DGUOK	788	867	889	839	942	702	704	719
TET3	2450	2102	2183	2522	879	2150	2142	2236
BOLA3	322	340	360	331	526	332	205	243
BOLA3-AS1	59	121	108	62	39	45	31	22
MOB1A	5987	3279	3999	5582	2030	5984	5532	5825
MTHFD2	3499	3431	3377	2994	2090	2641	2382	2347
SLC4A5	15	13	18	20	2	41	11	6
DCTN1	5512	4599	5091	5234	4022	4143	5289	5172
DCTN1-AS1	0	0	0	2	0	0	0	0
C2orf81	18	46	38	10	25	7	1	8
WDR54	97	132	131	59	106	30	27	41
RTKN	265	459	386	386	359	290	264	234
INO80B	8	23	11	21	19	10	17	12
INO80B-WBP1	0	0	0	1	1	0	0	0
WBP1	53	72	46	55	41	29	37	42
MOGS	1220	1147	1010	1159	897	855	1124	1365
MRPL53	685	772	713	742	1218	669	744	863
CCDC142	141	118	112	204	76	70	152	200
TTC31	672	557	543	764	318	564	771	740
LBX2	56	29	33	29	49	42	24	30
LBX2-AS1	446	226	263	462	394	424	359	368
PCGF1	242	233	222	295	236	272	305	337
TLX2	0	0	0	0	0	0	0	0
DQX1	0	1	1	1	0	0	2	2
AUP1	3494	2752	2851	3688	2845	2995	3574	4021
HTRA2	552	426	444	541	508	407	488	521
LOXL3	778	1826	1380	738	491	457	543	545
DOK1	1602	1251	1179	1260	1743	1252	1543	1670
M1AP	107	70	75	98	110	110	148	152
SEMA4F	174	235	231	190	96	76	85	91
HK2	1364	941	1133	1667	411	1565	1746	2745
POLE4	408	336	332	362	426	266	187	197
TACR1	4	5	8	0	0	0	0	1
MIR5000	0	0	0	0	0	0	0	0
EVA1A	82	62	60	60	95	32	2	0
MRPL19	1562	1353	1476	1743	794	1477	1403	1379
GCFC2	360	316	347	309	193	308	193	216
LRRTM4	11	47	79	119	8	8	0	0
SNAR-H	0	0	0	0	0	0	0	0
REG3G	0	0	0	0	0	0	0	0
REG1B	0	0	0	0	0	0	0	0
REG1A	3	2	0	0	0	0	0	0
REG1P	0	0	0	0	0	0	0	0
REG3A	0	0	0	0	0	0	0	0
CTNNA2	12	52	212	6	8	7	0	0
MIR4264	0	0	0	0	0	0	0	0
LRRTM1	22	146	136	69	17	7	0	0
LOC1720	0	0	0	0	0	0	0	0
FUNDC2P2	0	0	0	1	0	0	0	0
SUCLG1	1621	1485	1572	1621	1738	1303	1423	1335
DNAH6	3	1	18	4	0	1	0	0
TRABD2A	18	5	11	16	27	1	13	8
TMSB10	18153	16325	16062	20131	26584	13713	14902	14618
KCMF1	1953	1777	1881	2053	1735	1826	1594	1722
TCF7L1	151	431	435	255	171	73	23	9
TGOLN2	19248	11057	12308	17502	6927	15362	16675	19790
RETSAT	1523	1058	1139	1160	825	1316	1446	1519
ELMOD3	231	218	167	236	127	156	249	266
CAPG	32417	13940	17611	25246	28423	27788	33811	26527
SH2D6	1	0	0	1	0	0	0	0
LOC100630918	24	35	46	29	34	22	15	20
MAT2A	5499	4375	4581	5624	3444	4481	5907	6572
GGCX	1477	1867	1748	1625	980	842	1063	1185
VAMP8	4876	2958	3419	4239	6208	4533	4762	5242
VAMP5	186	130	160	74	208	46	80	95
RNF181	1227	1201	1149	1211	1744	1117	1305	1315
TMEM150A	604	515	531	502	553	569	714	677
USP39	1276	1101	1208	1273	978	1069	1099	1080
C2orf68	934	757	779	869	776	670	896	812
SFTPB	1	2	2	7	2	0	0	0
GNLY	0	0	0	0	0	0	0	0
ATOH8	99	91	117	69	58	59	209	219
LOC284950	0	1	7	0	0	0	4	1
ST3GAL5	1144	723	741	841	946	781	928	776
LOC90784	492	558	562	504	348	440	535	606
POLR1A	1397	1391	1611	1608	354	1362	1493	1510
PTCD3	1133	956	1143	1086	746	984	1085	1038
SNORD94	0	0	4	1	0	0	1	2
IMMT	4252	3374	3545	4127	3827	3542	3704	3782
MIR4779	0	0	0	0	0	0	0	0
MRPL35	1041	897	994	1167	956	1137	998	999
REEP1	16	99	219	53	26	22	4	18
KDM3A	1774	1339	1598	1545	929	1860	1834	1816
CHMP3	117	126	139	152	84	122	186	251
RNF103-CHMP3	3	2	1	0	0	1	4	0
RNF103	1193	1130	1153	1014	1106	1353	1060	1073
RMND5A	1342	1255	1450	1586	861	1774	1723	1678
CD8A	0	0	2	0	0	2	0	0
CD8B	0	0	0	0	0	0	1	0
ANAPC1P1	0	0	1	2	0	0	0	0
RGPD2	0	0	0	0	0	0	0	0
RGPD1	0	0	0	0	0	0	0	0
PLGLB2	0	0	0	0	0	0	0	0
PLGLB1	0	0	0	0	0	0	0	0
LOC285074	54	64	55	49	31	58	30	49
LINC00152	255	221	219	246	454	195	103	125
MIR4435-1	0	0	0	0	0	0	0	0
MIR4435-2	0	0	0	0	0	0	0	0
KRCC1	593	535	554	761	365	497	778	784
SMYD1	1	0	41	174	0	0	0	0
MIR4780	0	0	0	0	0	0	0	0
FABP1	0	1	1	0	0	0	0	0
THNSL2	205	184	168	135	124	53	70	149
FOXI3	1	0	0	0	0	0	0	0
TEX37	0	0	0	0	0	0	0	0
EIF2AK3	677	545	736	654	345	531	500	558
RPIA	396	281	284	338	384	344	348	291
ANKRD36BP2	0	0	0	0	0	0	0	0
MIR4436A	0	0	0	0	0	0	0	0
LOC654342	38	83	89	59	57	23	23	32
GGT8P	0	0	0	0	0	0	0	0
ACTR3BP2	0	0	0	0	0	0	0	0
LOC90499	0	0	0	0	0	0	0	0
ANKRD20A8P	0	0	0	0	0	0	0	0
LOC442028	0	0	0	0	0	0	0	0
TEKT4	0	0	0	0	0	0	0	0
MAL	1	2	8	0	0	0	0	0
MRPS5	933	727	817	970	844	767	947	952
ZNF514	178	181	131	192	77	93	168	171
ZNF2	144	153	152	197	92	152	151	214
PROM2	4	7	4	5	0	5	8	1
KCNIP3	52	312	191	100	48	26	13	2
FAHD2A	301	187	258	336	288	198	244	271
TRIM43B	0	0	0	0	0	0	0	0
TRIM43	0	0	0	0	0	0	0	0
FAHD2CP	26	21	32	19	19	14	30	15
GPAT2	0	1	0	2	0	2	0	0
ADRA2B	1	4	4	17	0	0	15	10
ASTL	0	1	0	0	0	0	0	0
DUSP2	114	91	71	94	113	74	92	74
STARD7	6420	5437	6209	5599	5172	6612	5957	5210
LOC285033	103	91	103	91	53	92	96	126
TMEM127	7641	5176	5589	6622	4002	7123	8150	9448
CIAO1	2533	1911	2208	2455	1736	2309	2478	2607
SNRNP200	8365	7782	9253	8608	3418	7150	7445	7622
ITPRIPL1	110	90	92	119	49	52	55	45
NCAPH	1086	566	586	937	328	147	126	101
NEURL3	143	50	62	191	354	226	64	65
ARID5A	1129	659	703	854	930	1095	1540	1803
KANSL3	1714	1428	1434	1646	876	1202	1460	1511
FER1L5	8	46	23	14	1	0	0	0
LMAN2L	475	566	546	542	409	408	475	488
CNNM4	674	391	382	699	330	559	703	749
MIR3127	2	0	0	0	0	0	0	0
CNNM3	809	627	675	744	509	710	834	945
ANKRD23	7	21	20	19	9	17	17	22
ANKRD39	237	176	171	205	274	165	171	217
SEMA4C	834	914	659	642	457	387	339	745
FAM178B	15	59	47	37	1	2	0	1
FAHD2B	67	62	67	57	40	38	36	74
ANKRD36	72	44	29	82	14	42	54	66
LOC100506123	13	16	11	18	2	8	24	22
ANKRD36B	39	13	23	31	9	28	32	26
COX5B	1676	1816	1885	1882	3334	1998	1736	1888
ACTR1B	1542	1243	1133	1342	1263	1142	1194	1031
LOC728537	8	13	4	2	3	7	7	13
ZAP70	0	4	8	3	2	0	0	0
TMEM131	2528	2455	2836	2760	1017	2549	3118	3242
VWA3B	1	3	4	1	0	0	0	0
CNGA3	3	3	17	0	2	0	0	0
INPP4A	2412	1532	1682	2172	853	1983	2587	2826
COA5	446	305	376	346	384	363	332	293
UNC50	950	744	762	834	897	785	808	811
MGAT4A	4684	3069	3834	4609	3060	5969	5554	5661
KIAA1211L	230	134	139	182	177	153	142	244
TSGA10	20	15	22	27	17	14	26	40
C2orf15	11	11	10	4	14	5	3	7
LIPT1	129	91	79	125	150	140	98	150
MITD1	397	306	378	544	470	473	493	407
MRPL30	1044	894	1158	1087	813	960	883	853
LYG2	0	0	0	0	0	0	1	0
LYG1	5	2	5	6	2	3	2	6
TXNDC9	773	663	765	629	731	785	591	496
EIF5B	4855	3423	4318	3920	3448	3481	2912	2812
REV1	637	554	586	636	394	491	613	570
AFF3	157	504	788	95	146	206	61	3
LONRF2	77	286	390	37	62	31	0	0
CHST10	221	311	390	244	196	189	198	188
NMS	0	0	0	0	0	0	0	0
PDCL3	464	293	397	404	364	341	383	381
NPAS2	165	385	310	212	121	33	7	0
RPL31	14009	16044	15851	10467	18591	15550	8241	9084
TBC1D8	1133	717	637	1339	416	921	1240	1545
CNOT11	1333	1440	1489	1358	1105	1115	1102	1063
SNORD89	28	13	8	25	24	11	25	30
RNF149	2499	1356	1440	1797	1704	1821	1837	3035
MIR5696	0	0	0	0	0	0	0	0
CREG2	15	0	0	4	2	5	9	1
RFX8	7	0	0	0	0	0	0	0
MAP4K4	7731	6563	8063	7812	4057	6149	6372	5883
IL1R2	18	8	9	20	12	23	14	44
IL1R1	3025	3943	2981	3654	810	456	189	40
IL1RL2	0	0	1	2	0	1	0	0
IL1RL1	2	2	7	3	0	4	0	0
IL18R1	59	97	63	41	24	13	5	0
IL18RAP	0	0	0	0	0	0	0	0
MIR4772	0	0	0	0	0	0	0	0
SLC9A4	2	1	2	6	0	0	0	0
SLC9A2	0	0	5	1	1	5	0	0
MFSD9	239	192	179	183	126	188	193	222
TMEM182	51	58	58	44	59	38	53	35
LOC100287010	0	0	0	0	0	0	0	0
LOC150568	0	0	0	0	0	0	0	0
LOC284998	2	1	0	0	0	0	0	0
LOC100506421	1	4	25	0	3	0	0	0
POU3F3	7	22	43	0	4	0	0	0
MRPS9	511	486	554	509	521	433	481	491
GPR45	0	0	0	1	0	0	0	0
TGFBRAP1	1062	910	955	1182	295	974	1174	1241
C2orf49	177	152	160	236	104	162	173	144
FHL2	206	482	439	181	287	65	8	0
LOC285000	0	0	0	0	0	0	0	0
NCK2	2364	2156	2315	2022	1875	1824	2271	2017
C2orf40	1	0	10	2	3	0	0	0
UXS1	1804	1194	1201	1453	1316	1482	1615	1564
PLGLA	0	0	0	0	0	0	0	0
RGPD3	26	15	13	22	16	13	15	19
ST6GAL2	60	370	432	207	22	30	0	1
LOC729121	0	0	0	0	0	0	0	0
RGPD4	6	5	3	6	0	1	6	3
SLC5A7	0	1	0	0	0	0	0	0
SULT1C3	0	0	0	0	0	0	0	0
SULT1C2	459	183	318	435	536	642	767	538
SULT1C2P1	3	0	1	1	1	4	16	3
SULT1C4	4	32	36	1	3	2	2	5
GCC2	1342	860	931	1375	356	1234	1458	1639
LIMS1	6919	4065	5533	8145	2860	8024	6787	7273
RANBP2	5290	3918	5062	5858	2239	5861	5924	6458
CCDC138	49	48	72	50	31	16	19	19
EDAR	0	0	0	0	0	0	0	0
SH3RF3-AS1	10	12	10	4	16	4	3	3
SH3RF3	658	761	654	688	378	511	552	540
MIR4265	0	0	0	0	0	0	0	0
MIR4266	0	0	0	0	0	0	0	0
SEPT10	2214	1508	1741	2227	1209	2085	2112	2251
SOWAHC	922	711	854	839	533	1139	999	1037
RGPD5	0	0	0	0	0	0	0	0
RGPD6	0	0	0	0	0	0	0	0
LIMS3L	0	0	0	0	0	0	0	0
LIMS3	0	0	0	0	0	0	0	0
LIMS3-LOC440895	0	2	0	1	0	0	0	0
LOC440895	0	0	0	0	0	0	0	0
LOC100288570	0	0	0	0	0	0	0	0
LOC440894	0	1	1	1	1	0	0	0
MIR4267	0	0	0	0	0	0	0	0
MALL	52	64	49	18	13	9	0	0
MIR4436B2	0	0	0	0	0	0	0	0
MIR4436B1	0	0	0	0	0	0	0	0
NPHP1	32	49	43	31	27	20	21	18
LINC00116	306	281	237	326	453	311	253	313
LOC100507334	0	5	0	0	0	0	0	0
LOC151009	0	0	0	0	0	0	0	0
BUB1	1176	509	580	959	242	76	125	105
ACOXL	1	1	0	0	0	0	0	0
BCL2L11	659	794	809	634	356	583	785	1194
LOC541471	493	360	365	439	687	329	414	489
ANAPC1	756	739	910	960	354	718	749	661
MERTK	1542	1189	1432	1687	945	1290	1901	3077
TMEM87B	2420	2107	2389	2073	1142	2127	1954	1907
FBLN7	13	17	22	10	5	2	0	0
ZC3H8	106	90	139	128	96	94	105	112
ZC3H6	388	322	318	433	108	343	402	628
RGPD8	0	0	0	0	0	0	0	0
TTL	2616	2146	2287	2428	1584	2206	2133	2182
POLR1B	518	589	604	602	253	454	469	512
CHCHD5	521	497	453	479	826	539	514	642
FLJ42351	3	0	3	4	2	0	3	0
SLC20A1	3623	2605	2649	2823	2198	2196	1707	1423
CKAP2L	685	285	360	528	123	43	40	20
IL1A	32	17	19	20	13	6	12	27
IL1B	2357	361	407	1186	285	451	359	1030
IL37	1	0	0	2	0	1	0	0
IL36G	0	2	0	0	0	0	0	0
IL36A	0	0	0	0	0	0	0	0
IL36B	0	1	0	5	2	0	6	0
IL36RN	3	0	0	0	0	0	0	0
IL1F10	0	0	0	0	0	0	0	0
IL1RN	124	51	96	229	40	85	641	414
PSD4	1186	726	667	941	493	751	1066	1293
PAX8	88	37	35	44	192	44	99	226
LOC654433	164	91	102	103	114	172	411	601
CBWD2	152	136	143	170	115	141	145	157
FOXD4L1	0	0	0	0	0	0	0	0
FAM138B	0	0	0	0	0	0	0	0
WASH2P	87	90	71	78	86	51	78	83
DDX11L2	23	14	10	23	13	2	17	7
RPL23AP7	244	143	159	256	223	204	271	302
RABL2A	27	55	51	29	30	25	29	58
SLC35F5	2423	1739	1984	2248	1114	1977	1906	1739
MIR4782	0	0	0	0	0	0	0	0
ACTR3	27188	13990	17375	26115	14167	20492	19056	18422
LOC100499194	0	0	0	0	0	0	0	0
LOC440900	3	1	2	1	1	1	1	1
DPP10	6	6	7	8	1	3	0	0
LOC389023	0	1	2	1	0	0	0	0
DDX18	1326	944	1171	1090	1007	1371	1093	1096
CCDC93	3050	1725	1997	2946	1164	2294	2480	2587
INSIG2	736	590	602	640	531	589	482	484
EN1	49	33	57	81	26	1	2	0
MARCO	12888	1222	655	3720	524	26	85	152
C1QL2	0	1	1	0	2	0	0	0
STEAP3	3695	1314	1195	2233	542	528	582	642
C2orf76	114	107	159	139	174	127	149	88
DBI	7458	4320	5490	7471	7385	6938	8344	6657
TMEM37	3488	1466	1423	2548	2357	2075	2717	3043
SCTR	2	0	1	3	0	0	1	2
PCDP1	0	5	26	7	3	1	0	0
TMEM177	94	108	124	83	104	55	53	65
PTPN4	232	278	339	341	106	226	217	250
EPB41L5	138	251	279	226	78	108	69	75
TMEM185B	1952	1492	1516	1664	1017	1616	1618	1720
RALB	3595	2329	2555	3232	2365	3098	3106	3200
INHBB	8	28	118	3	2	4	0	4
LOC84931	0	0	0	0	0	0	0	0
GLI2	94	388	356	129	43	18	1	0
TFCP2L1	1475	552	775	1107	562	1376	1441	1312
CLASP1	1946	1613	2054	2170	571	1639	1822	2082
RNU4ATAC	0	0	0	1	0	0	0	0
LOC254128	160	115	142	135	125	151	96	87
MKI67IP	793	724	902	763	733	741	718	704
TSN	2157	1976	2312	2021	1855	2119	1780	1629
CNTNAP5	1	16	64	0	0	0	0	0
GYPC	2217	3554	3326	2421	4794	3100	4647	4517
BIN1	1470	2327	2199	1782	2889	1367	1609	1542
CYP27C1	13	15	4	24	12	6	0	0
ERCC3	1106	810	834	1102	671	843	950	1042
MAP3K2	3033	2141	2764	3440	1314	3580	3050	3515
PROC	0	0	0	0	0	2	1	5
MIR4783	0	0	0	0	0	0	0	0
IWS1	1692	1258	1339	1374	974	1126	1200	1235
MYO7B	0	0	4	0	0	0	0	0
LIMS2	26	115	109	79	33	4	3	0
GPR17	0	0	0	0	0	0	0	0
SFT2D3	299	325	335	290	280	250	247	287
WDR33	1763	1375	1589	1599	1073	1555	1596	1639
POLR2D	916	896	919	879	590	651	603	546
AMMECR1L	723	714	764	720	335	534	616	612
SAP130	1047	912	1154	1140	555	822	1119	1019
UGGT1	4320	4841	5365	4529	1696	3926	3312	3790
HS6ST1	906	766	875	711	669	686	965	805
LOC389033	0	1	0	1	0	0	0	0
LOC100131320	1	0	3	8	1	2	0	0
RAB6C	14	11	10	8	1	3	6	9
LOC440905	11	31	29	35	9	8	17	9
POTEF	9	19	15	10	1	8	10	3
CCDC74B-AS1	0	2	3	3	0	0	1	0
CCDC74B	5	14	11	7	2	3	0	0
SMPD4	1398	1457	1392	1461	679	925	1021	1085
MZT2B	1324	1371	1155	1045	1806	772	858	880
TUBA3E	0	0	0	0	0	0	0	0
CCDC115	1065	733	754	769	1122	1003	1036	1106
IMP4	852	800	825	884	754	670	817	733
PTPN18	5600	3236	3365	4452	4165	4448	5614	6103
LOC100216479	20	12	9	12	16	9	7	4
CFC1B	0	0	0	0	0	0	0	0
TISP43	0	0	0	0	0	0	0	0
LOC646743	0	0	0	0	0	0	0	0
CFC1	0	0	0	0	0	0	0	0
CYP4F30P	0	0	0	0	0	0	0	0
GPR148	0	0	0	0	0	0	0	0
AMER3	0	1	18	0	0	0	0	0
ARHGEF4	53	157	151	62	35	5	0	0
FAM168B	5310	5207	5816	4859	3151	4854	4496	4302
PLEKHB2	14612	8466	9872	10752	10133	14877	13899	14326
POTEE	55	51	68	80	58	34	60	39
LOC440910	0	0	0	0	0	0	1	0
WTH3DI	0	2	9	3	1	3	2	3
LOC389043	0	0	0	0	0	0	0	0
LOC401010	1	1	0	0	0	1	0	1
RNU6-81	0	0	0	0	0	0	0	0
TUBA3D	0	0	1	0	0	0	0	0
MZT2A	560	584	464	512	816	345	368	390
MIR4784	0	3	0	0	0	1	6	0
LOC150776	173	190	144	170	123	103	147	161
CCDC74A	35	64	74	30	58	12	2	0
C2orf27A	41	31	42	41	15	43	30	22
C2orf27B	0	0	0	0	0	0	0	0
ANKRD30BL	10	9	3	1	7	3	2	3
MIR663B	0	0	0	0	0	0	0	0
GPR39	15	18	27	21	13	6	4	0
LYPD1	129	213	484	112	132	22	36	11
NCKAP5	110	209	244	224	69	122	154	52
MIR3679	0	0	3	0	0	1	0	0
MGAT5	4871	3814	4637	4555	2671	5344	5817	6273
TMEM163	10	27	136	10	20	33	32	22
ACMSD	0	0	1	0	0	0	0	0
LOC100129961	43	29	19	34	13	30	39	43
CCNT2	715	679	744	1039	311	628	840	851
MAP3K19	0	0	0	0	0	0	0	0
RAB3GAP1	2368	2174	2476	2377	1306	2254	2278	2526
ZRANB3	118	100	149	95	50	79	57	95
R3HDM1	786	823	1010	1011	308	652	790	839
MIR128-1	0	0	0	0	0	0	0	0
UBXN4	4335	3320	3859	4391	2180	4100	3928	4534
LCT	0	0	0	0	0	0	0	0
LOC100507600	4	0	1	1	0	0	0	0
MCM6	2985	2579	2581	2323	1496	1124	1073	806
DARS	2683	1798	2236	2173	2185	2803	1913	2209
CXCR4	1606	446	798	1134	1292	2044	1836	2182
THSD7B	1	1	26	0	2	5	0	0
HNMT	4181	2969	3630	4271	3536	4806	4809	5004
SPOPL	998	612	746	887	370	993	873	837
NXPH2	8	2	8	26	0	0	1	0
YY1P2	0	0	0	0	0	0	0	0
LRP1B	60	142	171	17	17	55	0	5
KYNU	4350	1284	1642	2225	2073	2636	1893	2229
ARHGAP15	286	159	193	211	247	224	204	207
GTDC1	846	518	628	783	482	657	550	568
ZEB2	11534	7094	8476	10223	3969	10689	13218	14311
ZEB2-AS1	13	4	3	8	20	8	11	22
DKFZp686O1327	3	0	4	4	7	8	5	12
PABPC1P2	0	0	1	0	0	0	0	0
ACVR2A	666	715	754	1015	423	512	376	353
ORC4	526	486	621	573	385	693	616	538
MBD5	223	295	326	338	53	172	226	266
EPC2	796	687	852	794	318	726	799	812
KIF5C	93	182	695	6	61	24	0	7
LYPD6B	5	4	1	0	9	0	0	0
LYPD6	26	42	54	31	7	3	0	0
MMADHC	2921	2283	2566	2511	2783	3118	2083	2168
RND3	2291	1407	1700	1223	1201	1644	1227	1041
RBM43	345	373	347	354	160	294	260	232
NMI	1123	594	640	722	856	873	563	628
TNFAIP6	1591	318	318	731	267	338	114	231
MIR4773-2	0	0	0	0	0	0	0	0
MIR4773-1	0	0	0	0	0	0	0	0
RIF1	1880	1382	1720	2016	631	1808	1515	1647
NEB	15	29	110	546	5	7	10	32
ARL5A	1956	1792	2409	2054	1504	2380	1611	1824
CACNB4	49	113	108	62	21	39	27	26
STAM2	1320	1109	1165	1423	616	1315	1277	1428
FMNL2	4432	2384	2834	4202	1417	3387	3987	3019
PRPF40A	4237	2983	3662	3973	2214	4107	3893	3890
ARL6IP6	662	490	547	615	504	563	497	449
RPRM	1	13	13	6	4	0	0	0
GALNT13	151	734	704	579	85	23	4	0
LOC100144595	0	0	0	0	0	0	0	0
KCNJ3	13	65	73	13	4	0	0	0
NR4A2	32	18	20	22	6	38	31	37
GPD2	2425	1399	1682	2187	900	2333	2048	2106
GALNT5	128	377	292	349	64	29	8	0
ERMN	3	1	1	5	0	5	4	13
CYTIP	329	152	225	397	199	578	577	1033
ACVR1C	0	5	1	1	0	0	0	0
ACVR1	1066	1198	1189	937	709	849	762	799
UPP2	0	0	1	0	5	0	0	0
CCDC148-AS1	0	0	0	0	0	0	0	0
CCDC148	1	5	5	4	2	2	0	0
PKP4	584	612	603	606	283	298	355	409
DAPL1	39	2	7	14	18	9	52	130
TANC1	358	726	743	563	142	252	254	238
WDSUB1	503	268	304	482	397	439	394	479
BAZ2B	1219	797	1028	1317	396	1009	1089	1541
MARCH7	2437	1890	2168	2276	1470	2360	2243	2028
LY75-CD302	7	0	2	3	0	3	0	0
CD302	277	173	199	301	146	269	269	451
LY75	601	210	239	438	330	420	248	213
PLA2R1	200	468	370	135	182	171	16	1
ITGB6	0	0	18	40	0	1	0	0
RBMS1	4174	3565	3719	3614	2706	3281	3303	2881
MIR4785	16	17	13	22	8	16	22	12
TANK	2829	1349	1567	2469	1565	2536	2576	2199
PSMD14	2355	1616	2111	1952	2087	2406	1816	1707
TBR1	0	0	10	0	4	0	0	0
AHCTF1P1	7	6	8	12	4	9	8	9
SLC4A10	0	7	7	0	0	2	0	0
DPP4	866	1076	802	2128	361	339	381	143
GCG	2	0	4	0	0	0	0	0
FAP	2309	3140	2895	3024	895	209	85	3
IFIH1	1823	872	1079	1546	1040	1971	1627	1728
GCA	1176	722	770	930	968	1116	861	761
KCNH7	0	0	2	0	2	0	0	0
FIGN	32	42	80	49	13	14	35	19
GRB14	1	2	4	1	1	2	0	0
COBLL1	541	352	393	636	233	608	542	481
SNORA70F	0	0	0	0	0	0	0	0
SLC38A11	1	0	0	0	0	0	0	0
SCN3A	17	22	58	105	2	9	4	0
SCN2A	13	57	51	18	4	4	0	0
CSRNP3	29	138	355	50	17	36	0	0
GALNT3	7	3	14	8	10	6	0	1
LOC100506124	11	12	7	4	0	1	5	9
TTC21B	327	259	364	390	157	261	337	326
LOC100506134	0	0	0	0	0	0	0	0
SCN1A	1	6	6	2	0	0	0	0
SCN9A	103	131	174	178	95	193	674	400
SCN7A	9	24	31	18	0	0	0	1
XIRP2	0	0	8	9	0	0	0	0
B3GALT1	1	32	37	2	0	12	0	0
STK39	300	486	438	318	165	107	48	31
CERS6	2324	2088	2423	2351	1130	2092	2123	1902
MIR4774	0	0	0	0	0	0	0	0
CERS6-AS1	28	0	1	1	2	80	1	0
NOSTRIN	0	4	1	0	0	0	0	0
SPC25	321	164	221	213	121	13	10	7
G6PC2	0	0	0	0	0	0	0	0
ABCB11	0	0	0	0	0	0	0	0
DHRS9	125	35	30	122	121	71	264	296
LRP2	27	22	83	15	8	12	0	0
BBS5	836	326	320	541	473	635	574	624
KLHL41	181	216	446	922	99	93	91	77
FASTKD1	409	319	424	506	285	491	492	530
PPIG	2345	1395	1832	2315	1105	1790	2183	2166
CCDC173	3	2	12	2	1	0	0	0
PHOSPHO2	20	11	31	19	20	21	30	22
PHOSPHO2-KLHL23	0	0	0	0	0	0	0	0
KLHL23	0	6	6	0	2	0	0	0
SSB	3410	2519	3128	3132	2720	3089	2719	2736
METTL5	610	479	523	526	579	601	431	320
UBR3	1710	1407	1788	1787	699	2198	1778	1992
MYO3B	0	3	4	0	1	0	0	0
LOC440925	0	1	0	1	0	0	0	0
SP5	1	0	15	0	0	0	0	0
LOC100505695	7	24	23	3	11	1	0	0
GAD1	9	10	18	44	22	36	31	38
GORASP2	2873	3575	3539	3157	2161	2460	2303	2303
TLK1	1788	1520	1757	1812	859	1756	1742	1782
METTL8	473	399	427	566	269	390	471	467
DCAF17	485	411	477	460	175	472	442	419
CYBRD1	4650	4277	4015	4833	2139	2929	4170	4620
DYNC1I2	3011	2210	2478	2619	1720	2601	2484	2295
SLC25A12	437	482	422	451	265	278	287	284
HAT1	1671	1190	1478	1426	1388	1315	1040	1086
METAP1D	38	36	41	53	23	24	34	32
DLX1	9	2	1	1	6	0	0	0
DLX2	0	0	11	0	0	0	1	0
ITGA6	324	472	653	935	209	265	740	348
PDK1	244	352	295	311	171	288	254	211
RAPGEF4-AS1	0	0	1	0	0	0	0	0
RAPGEF4	0	3	10	2	0	2	0	0
ZAK	628	1531	1283	679	271	200	105	88
MLK7-AS1	0	0	0	0	0	1	0	0
CDCA7	110	170	170	117	45	14	4	6
SP3	2406	2296	2474	2490	1288	2367	2273	2426
OLA1	1433	1307	1541	1466	1122	1554	1350	1333
LOC285084	0	2	0	2	0	0	0	0
SP9	0	0	5	0	1	0	0	0
CIR1	866	740	743	912	522	649	820	953
SCRN3	481	398	522	502	276	382	456	479
GPR155	572	323	412	809	317	493	681	849
WIPF1	8461	4877	5711	7950	4030	8653	9135	10502
CHRNA1	64	2	95	476	30	19	8	6
CHN1	171	499	599	466	153	35	8	9
ATF2	2064	1618	1868	2238	973	2212	2192	2110
MIR933	0	0	0	1	0	0	1	2
ATP5G3	4029	4289	4862	4162	6181	4403	3066	2923
KIAA1715	1538	1247	1545	1515	662	1583	1558	1476
EVX2	0	0	1	0	0	0	0	0
HOXD13	0	6	6	0	0	0	0	0
HOXD12	0	0	3	0	0	0	0	0
HOXD11	0	22	12	0	0	0	1	0
HOXD10	2	29	13	0	0	0	0	0
HOXD9	0	18	14	7	0	0	2	0
HOXD8	8	36	24	27	4	0	1	0
HOXD-AS2	5	15	15	10	11	0	0	0
MIR10B	0	0	0	0	0	0	0	0
HOXD4	1	13	40	12	5	0	1	0
HOXD3	0	40	157	7	11	0	0	0
HOXD-AS1	0	18	11	25	15	0	0	0
HOXD1	0	5	4	10	17	0	0	0
MTX2	578	494	510	489	530	448	366	327
MIR1246	0	0	0	0	0	0	0	0
LOC375295	13	48	46	34	25	5	2	0
HNRNPA3	3998	3494	4472	4172	3032	3878	3735	3546
MIR4444-1	2	1	1	0	0	0	0	1
NFE2L2	9088	4756	5664	8680	4949	10960	14528	14028
MIR3128	0	0	0	0	0	0	0	0
LOC100130691	44	33	41	46	27	28	35	50
AGPS	2991	2127	2509	2938	1373	2900	2747	2514
TTC30B	87	96	89	56	38	55	59	78
TTC30A	103	156	178	165	63	73	68	130
PDE11A	0	2	2	1	0	0	0	0
RBM45	317	266	271	294	240	215	200	229
OSBPL6	175	173	242	214	96	69	119	128
MIR548N	0	0	1	0	0	0	0	0
PRKRA	586	692	738	586	520	611	556	490
DFNB59	11	32	8	5	8	8	2	13
