AST_E3	AST_E3	AST_E3	AST_E4	AST_E4	AST_E4
COL3A1	56315	9329	51915	13295	43254	47839
MIR1245A	0	0	0	0	0	0
MIR1245B	0	0	0	0	0	0
MIR3606	0	0	0	0	0	0
COL5A2	15467	11028	17550	4784	14859	12125
MIR3129	0	0	0	0	0	0
WDR75	355	466	536	362	522	564
SLC40A1	115	114	108	67	137	162
ASNSD1	356	395	407	308	458	510
ANKAR	7	11	9	6	7	6
OSGEPL1	51	60	65	23	67	77
ORMDL1	129	143	172	128	209	241
PMS1	124	130	134	137	134	182
MSTN	1	0	0	1	0	0
C2orf88	14	5	10	7	12	12
HIBCH	140	145	148	95	142	167
INPP1	192	146	181	67	199	242
MFSD6	117	131	164	157	221	253
TMEM194B	44	72	84	33	75	65
NAB1	168	159	331	122	232	238
GLS	602	639	825	480	732	751
STAT1	906	1057	1085	592	1120	1165
STAT4	9	5	7	6	4	7
MYO1B	1575	2571	1421	883	1688	1610
NABP1	70	66	92	36	68	80
SDPR	1355	1621	1614	534	1502	1406
TMEFF2	444	619	445	210	404	590
PCGEM1	0	0	0	0	0	0
SLC39A10	578	841	591	478	869	870
DNAH7	5	2	1	0	3	2
STK17B	341	423	291	309	462	596
HECW2	35	68	33	19	47	33
CCDC150	4	12	9	4	5	5
LOC100130452	0	0	0	0	0	0
GTF3C3	273	304	317	192	377	404
C2orf66	3	2	5	0	5	2
PGAP1	364	538	349	184	408	402
ANKRD44	83	92	105	38	78	78
SF3B1	1758	2156	2152	1221	2397	2608
COQ10B	206	209	216	108	242	222
HSPD1	1529	1926	1974	1350	2329	2841
HSPE1-MOB4	0	0	0	0	0	0
HSPE1	78	104	167	64	140	107
MOB4	1	0	0	0	0	0
RFTN2	70	36	29	16	42	33
MARS2	36	47	56	17	60	42
BOLL	0	0	0	0	0	0
PLCL1	20	28	7	4	14	11
SATB2	66	142	45	39	89	80
SATB2-AS1	0	1	0	0	0	0
FONG	0	0	1	0	3	2
C2orf69	138	180	204	179	193	244
TYW5	42	77	71	47	76	118
C2orf47	89	89	96	38	92	84
SPATS2L	1205	1214	1801	936	2099	1933
KCTD18	113	103	116	62	145	151
SGOL2	100	167	265	242	149	168
AOX1	81	63	142	64	220	188
AOX2P	0	0	0	0	0	0
LOC100507140	0	0	0	0	0	0
BZW1	602	572	697	402	849	840
CLK1	150	174	215	143	211	295
PPIL3	151	168	188	141	163	196
NIF3L1	126	164	176	68	184	196
ORC2	165	234	163	120	224	240
FAM126B	95	142	148	93	149	177
NDUFB3	220	241	254	112	283	306
CFLAR	485	590	523	270	502	642
CFLAR-AS1	1	0	0	13	1	0
CASP10	2	0	1	0	1	1
CASP8	114	118	125	60	143	145
ALS2CR12	0	0	1	0	1	0
TRAK2	551	823	864	431	1058	968
STRADB	156	242	199	108	247	242
ALS2CR11	0	0	1	0	0	0
TMEM237	194	265	360	169	389	392
MPP4	8	5	33	9	30	11
ALS2	269	369	316	160	447	479
CDK15	2	6	3	6	5	2
FZD7	342	575	345	116	550	396
SUMO1	403	431	344	287	373	510
NOP58	357	389	539	359	447	579
SNORD70	0	0	0	0	0	0
SNORD11B	0	0	0	0	0	0
SNORD11	0	0	0	0	0	0
BMPR2	1418	2401	2190	1368	2872	2921
FAM117B	71	136	85	27	102	121
ICA1L	24	31	48	28	53	73
WDR12	199	204	212	103	233	226
ALS2CR8	50	61	60	43	46	72
NBEAL1	68	187	166	125	226	229
CYP20A1	327	282	278	153	320	370
ABI2	729	1046	903	524	1181	1302
RAPH1	872	1324	796	448	1202	1142
CD28	2	0	1	0	0	1
CTLA4	0	0	0	0	0	0
ICOS	0	0	0	0	0	0
PARD3B	148	158	207	83	222	196
NRP2	1804	2879	1814	588	1908	2038
INO80D	157	290	298	162	288	307
GCSHP3	71	76	53	38	76	91
NDUFS1	682	910	756	381	840	894
EEF1B2	386	391	392	106	477	511
SNORD51	0	0	0	0	1	0
SNORA41	0	0	0	0	0	0
GPR1	136	110	23	38	107	49
ZDBF2	103	245	140	144	216	237
ADAM23	130	104	62	42	127	93
LOC200726	0	0	0	0	0	0
DYTN	0	0	0	0	0	0
MDH1B	5	12	9	3	5	8
FASTKD2	330	364	377	260	469	532
MIR3130-2	0	0	0	0	0	0
MIR3130-1	0	0	0	0	0	0
CPO	0	0	0	0	0	0
KLF7	586	831	799	370	942	1008
MIR2355	0	0	0	0	0	0
CREB1	307	450	401	279	446	511
METTL21A	63	63	56	27	59	63
CCNYL1	236	236	332	213	383	380
MIR4775	0	0	0	0	0	0
FZD5	404	750	202	117	365	360
PLEKHM3	169	349	248	109	355	299
LOC100507443	0	0	0	0	0	0
CRYGD	0	0	0	0	0	1
CRYGC	0	0	0	0	0	0
CRYGB	0	0	0	0	0	0
CRYGA	0	0	0	0	0	0
C2orf80	0	0	0	0	0	0
IDH1	661	805	564	370	860	1092
IDH1-AS1	1	4	3	0	2	5
PIKFYVE	366	623	550	338	746	783
PTH2R	0	0	0	0	0	0
MAP2	52	65	110	28	113	87
UNC80	5	14	15	0	4	4
RPE	245	298	268	233	372	402
KANSL1L	49	70	73	125	68	128
ACADL	5	8	5	12	28	33
MYL1	3	1	1	2	3	0
LANCL1	641	886	840	521	1108	1092
CPS1	345	379	468	196	418	382
CPS1-IT1	0	0	2	0	0	0
ERBB4	0	3	1	0	2	1
MIR548F2	0	0	0	0	0	0
MIR4776-2	0	0	0	0	0	0
MIR4776-1	0	0	0	0	0	0
IKZF2	132	163	285	292	392	358
LOC100130451	0	0	0	0	0	0
SPAG16	74	87	88	74	87	122
VWC2L	0	0	0	0	0	0
VWC2L-IT1	0	0	0	0	0	0
BARD1	45	117	127	55	99	120
ABCA12	4	14	7	5	17	8
ATIC	684	735	704	315	846	888
FN1	174799	274559	251966	81573	372061	298213
LINC00607	17	3	22	4	21	12
MREG	12	19	13	9	18	15
PECR	39	43	57	22	37	58
TMEM169	16	42	32	5	12	9
XRCC5	2967	3835	3604	2345	4222	4366
PKI55	195	278	226	96	338	264
MARCH4	77	24	72	13	73	27
SMARCAL1	250	243	286	82	328	271
RPL37A	5807	5763	5612	2118	7717	8307
IGFBP2	3906	1478	3768	256	3626	1591
IGFBP5	7547	4784	10764	1492	8041	8355
TNP1	0	0	0	0	0	0
DIRC3	3	1	1	1	0	3
TNS1	1415	463	950	172	1323	899
RUFY4	0	0	0	0	0	0
CXCR2P1	0	0	0	0	0	0
CXCR2	0	0	0	0	0	0
CXCR1	0	0	0	0	0	0
ARPC2	2962	2748	3069	1765	3567	3331
GPBAR1	0	0	0	0	0	0
AAMP	477	521	484	81	497	500
PNKD	254	295	211	39	342	225
TMBIM1	856	533	780	193	927	848
C2orf62	0	0	0	0	0	0
SLC11A1	1	0	1	0	2	0
CTDSP1	710	603	610	84	780	656
MIR26B	0	0	0	0	1	0
VIL1	0	0	0	0	0	0
USP37	104	215	157	105	177	230
RQCD1	431	509	487	154	525	515
PLCD4	71	86	59	21	103	93
ZNF142	233	251	279	44	257	259
BCS1L	136	162	139	21	158	135
RNF25	152	132	100	33	142	146
STK36	143	184	156	37	198	172
TTLL4	138	165	193	36	218	167
CYP27A1	96	133	134	17	104	115
PRKAG3	0	0	0	0	0	0
WNT6	0	0	0	0	0	0
WNT10A	0	0	0	0	0	0
CDK5R2	2	0	0	1	0	0
LINC00608	0	0	0	0	0	0
FEV	0	0	0	0	0	0
CRYBA2	0	4	0	0	0	0
MIR375	0	0	0	0	0	0
LOC100129175	0	0	0	0	0	0
CCDC108	0	0	1	0	0	0
IHH	0	0	0	0	0	0
MIR3131	0	0	0	0	0	0
NHEJ1	112	120	109	44	142	125
SLC23A3	1	1	3	0	1	1
CNPPD1	345	356	276	39	279	296
FAM134A	653	782	600	184	814	839
ZFAND2B	108	109	103	28	112	120
ABCB6	135	121	132	19	107	142
ATG9A	889	870	894	165	1100	823
ANKZF1	88	90	98	27	122	118
GLB1L	37	42	29	9	57	38
STK16	135	153	149	31	164	161
TUBA4A	28	31	97	13	62	55
TUBA4B	0	0	0	1	0	0
DNAJB2	340	356	303	34	316	281
PTPRN	36	66	39	9	74	132
MIR153-1	0	0	0	0	0	0
RESP18	0	0	0	0	0	0
DNPEP	276	275	241	45	315	283
DES	20	15	16	6	4	2
SPEG	316	356	155	21	255	167
GMPPA	277	222	241	40	284	221
ASIC4	0	0	0	0	0	0
CHPF	3086	3034	2060	194	2457	1576
TMEM198	18	30	13	3	23	26
MIR3132	0	0	0	0	0	0
OBSL1	682	770	599	106	632	608
INHA	0	0	0	0	1	1
STK11IP	114	119	114	16	153	91
SLC4A3	84	129	52	13	83	61
MIR4268	0	0	0	0	0	0
EPHA4	424	737	535	212	697	879
PAX3	1	0	5	2	2	2
CCDC140	0	0	0	0	0	0
SGPP2	1	1	8	0	0	10
FARSB	357	416	520	258	500	519
MOGAT1	0	0	0	0	0	0
ACSL3	822	701	885	568	850	856
KCNE4	52	7	85	56	100	74
SCG2	1182	821	995	274	757	647
AP1S3	271	325	297	264	347	393
WDFY1	716	871	893	539	1150	1129
MRPL44	225	241	247	118	288	311
SERPINE2	4280	1877	23888	4204	6407	6031
FAM124B	3	2	0	0	0	0
CUL3	797	818	758	606	902	1166
DOCK10	272	121	549	164	242	259
MIR4439	0	0	0	0	0	0
NYAP2	0	1	0	0	0	1
LOC646736	0	0	0	0	0	0
MIR5702	0	0	0	0	0	0
IRS1	668	1015	624	311	900	775
RHBDD1	310	392	308	114	460	399
COL4A4	1	9	1	1	4	3
COL4A3	1	2	0	2	2	1
MFF	420	445	429	278	513	552
TM4SF20	0	0	0	2	0	0
MIR5703	0	0	0	0	0	0
AGFG1	561	793	759	455	966	960
C2orf83	0	0	0	0	0	0
SLC19A3	0	8	0	0	1	3
CCL20	17	31	34	63	55	70
DAW1	3	4	3	3	8	7
SPHKAP	0	1	0	0	0	0
PID1	89	103	306	59	175	192
DNER	26	27	32	15	80	59
TRIP12	2141	2957	2574	1518	3514	3549
FBXO36	43	55	61	20	63	71
SLC16A14	62	87	56	44	100	114
SP110	181	168	155	64	170	181
SP140	0	2	1	0	2	0
SP140L	141	155	130	66	148	111
SP100	484	432	556	353	625	519
LOC151475	0	0	0	0	0	0
CAB39	531	629	685	553	785	849
ITM2C	1680	2015	1268	268	1806	1422
LOC151484	0	0	0	0	0	0
GPR55	0	0	0	0	0	0
LOC348761	0	0	0	0	0	0
SPATA3	0	0	0	0	0	0
C2orf72	1	1	3	1	2	2
PSMD1	1410	1567	1585	956	1961	2011
HTR2B	6	1	10	0	3	9
ARMC9	122	191	183	73	222	214
MIR4777	1	0	0	0	0	0
B3GNT7	29	20	13	14	21	26
NCL	4560	4776	5437	3563	5278	6659
SNORA75	0	0	0	0	0	0
SNORD20	0	0	0	0	0	0
SNORD82	0	0	0	0	0	1
LINC00471	2	3	3	0	4	3
NMUR1	0	0	0	0	0	0
C2orf57	0	0	0	0	0	0
PTMA	956	1028	969	438	677	1091
PDE6D	90	110	115	50	132	129
COPS7B	212	244	198	59	264	217
MIR1471	0	0	0	0	0	0
NPPC	0	0	2	0	2	3
DIS3L2	148	206	175	45	178	182
ALPP	0	0	0	0	0	0
ECEL1P2	0	0	0	0	0	0
ALPPL2	0	1	0	0	0	0
ALPI	0	0	0	0	0	0
ECEL1	0	0	1	0	1	0
PRSS56	0	0	0	0	0	0
CHRND	1	0	0	0	0	0
CHRNG	0	0	0	0	0	0
TIGD1	31	37	40	24	30	43
MIR5001	0	0	0	0	0	0
EIF4E2	514	394	403	86	478	442
EFHD1	55	81	19	34	123	100
GIGYF2	734	1000	899	330	987	1157
KCNJ13	0	0	0	11	10	4
C2orf82	2	1	1	1	0	0
NGEF	9	18	16	2	10	23
NEU2	0	0	0	0	0	0
INPP5D	32	36	9	8	16	18
ATG16L1	206	275	261	97	300	291
SCARNA5	0	0	0	0	1	0
SCARNA6	0	0	0	0	0	0
SAG	0	0	0	0	0	0
DGKD	248	382	283	102	341	382
USP40	327	367	311	194	427	420
UGT1A8	0	0	0	0	0	0
UGT1A10	0	0	0	0	0	0
UGT1A9	0	0	0	0	0	0
UGT1A7	0	0	0	0	0	0
UGT1A6	0	0	0	0	0	0
UGT1A5	0	0	0	0	0	0
UGT1A4	0	0	0	0	0	0
UGT1A3	0	0	0	0	0	0
DNAJB3	0	0	0	0	0	0
LOC100286922	0	0	0	0	0	0
UGT1A1	0	0	0	0	0	0
HJURP	102	189	220	53	122	98
MSL3P1	47	53	70	48	69	92
TRPM8	0	1	0	0	2	1
SPP2	0	0	0	0	0	0
ARL4C	383	447	232	92	320	141
SH3BP4	1010	1596	903	275	1463	1021
AGAP1	318	384	340	121	422	408
GBX2	0	3	2	0	6	6
ASB18	0	0	0	0	0	0
IQCA1	13	30	21	26	22	50
CXCR7	398	88	98	43	176	75
COPS8	786	980	1264	577	1223	1306
COL6A3	11617	2094	33979	7202	30074	21318
MLPH	362	863	244	151	769	780
PRLH	0	0	1	0	0	0
RAB17	7	7	11	1	16	14
LRRFIP1	985	929	1221	612	989	1157
RBM44	0	0	1	1	1	0
RAMP1	67	77	80	2	35	48
UBE2F	136	144	151	88	195	174
UBE2F-SCLY	0	0	0	0	0	0
SCLY	0	0	0	0	0	0
ESPNL	0	0	0	0	0	0
KLHL30	0	1	0	0	0	0
ILKAP	95	117	140	56	126	150
LOC151174	6	1	2	0	1	0
LOC643387	0	0	2	0	0	1
HES6	9	13	18	0	7	10
PER2	85	136	67	25	114	118
TRAF3IP1	192	210	205	125	222	287
ASB1	346	461	344	108	399	373
LOC151171	0	0	0	0	0	0
TWIST2	111	94	168	57	194	157
FLJ43879	0	0	0	0	0	0
HDAC4	170	302	257	89	273	228
MIR4440	0	0	0	0	0	0
MIR4441	0	0	0	0	0	0
MGC16025	0	0	1	0	0	0
MIR4269	0	0	0	0	0	0
MIR2467	0	0	1	0	0	0
LOC150935	0	0	0	0	0	0
MIR4786	0	0	0	0	0	0
NDUFA10	636	593	604	222	720	716
OR6B2	0	0	0	0	0	0
PRR21	0	0	0	0	0	0
OR6B3	0	0	0	0	0	0
MYEOV2	232	254	292	145	371	368
OTOS	0	0	0	0	0	0
GPC1	1835	1858	1824	153	2008	1794
PP14571	0	1	0	1	0	1
MIR149	0	0	0	0	0	0
ANKMY1	11	18	15	3	19	23
DUSP28	11	8	7	0	9	10
RNPEPL1	517	464	377	48	466	345
CAPN10	74	66	62	2	51	47
GPR35	2	1	5	0	1	1
AQP12B	0	0	0	0	0	0
AQP12A	0	0	0	0	0	0
KIF1A	95	73	8	9	105	91
AGXT	0	0	0	0	0	0
C2orf54	0	0	0	0	0	0
LOC200772	1	0	0	0	2	0
SNED1	901	1676	1012	344	1860	1469
MTERFD2	176	200	150	134	187	213
PASK	35	73	61	10	43	49
PPP1R7	444	420	418	245	425	494
ANO7	5	4	3	1	3	5
HDLBP	10557	10306	9965	3643	12546	11818
SEPT2	5289	6443	6223	3201	7149	7515
FARP2	87	102	133	56	147	102
STK25	886	916	767	187	952	804
BOK-AS1	0	1	0	0	0	0
BOK	273	294	185	23	218	190
THAP4	341	320	319	40	380	330
ATG4B	463	456	373	94	429	400
DTYMK	219	262	316	78	264	211
ING5	128	184	155	33	165	172
D2HGDH	89	73	56	8	67	54
GAL3ST2	1	0	0	0	0	0
NEU4	0	0	1	0	0	0
PDCD1	0	0	0	0	0	0
CXXC11	0	0	0	0	0	0
LOC728323	2	7	2	1	2	8
DEFB125	0	0	0	0	0	0
DEFB126	0	0	0	0	0	0
DEFB127	0	0	0	0	0	0
DEFB128	0	0	0	0	0	0
DEFB129	0	0	0	0	0	0
DEFB132	0	0	0	0	0	0
C20orf96	28	35	27	10	26	31
ZCCHC3	345	302	301	87	342	339
SOX12	752	696	428	81	538	495
NRSN2	636	564	467	61	505	381
TRIB3	223	198	112	42	221	322
RBCK1	601	581	493	75	636	474
TBC1D20	515	512	573	208	712	629
CSNK2A1	666	812	645	335	931	868
TCF15	0	0	0	0	0	0
SRXN1	310	349	332	153	396	450
SCRT2	0	0	0	0	0	0
SLC52A3	0	0	0	0	0	0
FAM110A	40	42	60	6	40	29
ANGPT4	0	0	0	0	0	0
RSPO4	0	0	0	0	0	0
PSMF1	1056	1175	1020	310	1367	1202
TMEM74B	0	0	0	0	0	1
C20orf202	0	0	0	0	0	0
RAD21L1	0	0	0	0	0	0
SNPH	143	117	116	16	130	95
SDCBP2	0	0	0	0	0	0
FKBP1A-SDCBP2	0	0	0	0	0	0
SDCBP2-AS1	9	6	10	10	11	14
FKBP1A	1861	1939	1939	646	2295	2199
NSFL1C	506	479	498	160	555	528
SIRPB2	0	0	0	0	0	0
SIRPD	0	0	0	0	0	0
SIRPB1	0	0	0	0	0	0
SIRPG	0	0	0	0	0	0
LOC100289473	0	0	0	0	0	0
SIRPA	125	125	164	23	148	164
PDYN	0	0	0	0	0	0
STK35	429	592	432	129	517	438
TGM3	0	0	0	0	0	0
TGM6	0	0	0	0	0	0
SNRPB	683	635	738	168	678	561
SNORD119	0	0	0	0	0	0
ZNF343	73	72	86	42	100	117
TMC2	0	0	0	0	0	0
NOP56	674	651	663	269	693	721
MIR1292	0	0	0	0	0	0
SNORD110	0	2	1	0	2	1
SNORA51	0	0	2	0	0	1
SNORD86	0	0	0	0	0	0
SNORD56	1	0	0	0	0	0
SNORD57	1	0	2	1	2	0
IDH3B	453	420	441	139	462	510
EBF4	17	30	24	4	23	17
CPXM1	324	325	299	33	182	207
C20orf141	0	0	0	0	0	0
TMEM239	0	0	0	0	0	0
PCED1A	92	87	93	13	81	77
VPS16	212	196	202	60	248	265
PTPRA	1062	1109	1262	700	1678	1806
GNRH2	0	0	0	0	0	0
MRPS26	159	187	173	47	168	186
OXT	0	0	0	0	0	0
AVP	0	0	0	0	0	0
UBOX5-AS1	0	0	0	2	0	0
UBOX5	92	124	87	16	110	68
FASTKD5	112	146	150	67	172	185
PROSAPIP1	32	22	18	7	35	24
DDRGK1	327	224	243	56	317	283
ITPA	260	255	251	20	195	206
SLC4A11	25	10	36	7	28	23
C20orf194	161	236	226	81	262	235
ATRN	1038	1321	1177	621	1447	1386
GFRA4	0	0	0	0	0	0
ADAM33	62	24	12	7	63	39
SIGLEC1	0	0	0	0	0	0
HSPA12B	22	0	3	4	4	1
C20orf27	264	221	201	29	178	144
SPEF1	1	2	0	0	2	0
CENPB	789	599	633	111	707	553
CDC25B	1440	1621	1201	457	1793	1597
AP5S1	135	115	118	21	143	77
MAVS	1442	1314	1260	541	1767	1617
PANK2	223	236	262	162	280	319
MIR103A2	0	0	0	0	0	1
MIR103B2	0	0	0	1	0	0
RNF24	257	224	461	139	401	437
SMOX	301	306	243	54	334	269
LOC728228	0	0	1	0	1	0
ADRA1D	0	2	2	0	0	1
PRNP	1336	1473	1234	1388	2061	2037
PRND	0	0	0	0	0	0
PRNT	0	0	0	0	0	0
RASSF2	52	45	119	10	34	41
SLC23A2	258	358	268	115	466	444
TMEM230	499	570	474	373	823	911
PCNA	667	610	839	596	782	777
PCNA-AS1	2	0	0	37	0	0
CDS2	469	592	450	202	572	551
PROKR2	0	0	0	0	0	0
LINC00658	0	0	0	0	0	0
LOC643406	0	0	0	0	0	0
LINC00654	0	0	0	0	0	0
GPCPD1	233	298	306	269	352	439
C20orf196	14	14	17	5	15	11
CHGB	6	9	6	3	11	16
TRMT6	135	131	161	118	130	174
MCM8	58	116	151	89	90	119
CRLS1	255	255	281	172	306	344
LRRN4	0	1	0	0	0	1
FERMT1	62	70	158	32	62	82
BMP2	71	51	76	17	20	40
HAO1	0	0	0	0	0	0
TMX4	307	373	381	204	397	477
PLCB1	158	194	198	185	265	401
PLCB4	24	43	45	52	38	58
LAMP5	0	1	1	0	1	3
PAK7	0	0	0	0	0	0
SNAP25-AS1	0	0	0	0	0	1
ANKEF1	31	50	20	33	47	49
SNAP25	0	0	2	0	3	1
MKKS	234	240	260	176	249	286
SLX4IP	8	23	12	10	16	23
JAG1	481	710	808	405	837	575
LOC339593	0	0	0	0	0	0
BTBD3	239	384	256	151	294	327
SPTLC3	265	235	276	130	314	334
ISM1	34	46	25	11	15	17
ISM1-AS1	0	0	0	0	0	0
TASP1	41	37	48	33	48	41
ESF1	126	164	160	229	196	277
NDUFAF5	65	55	64	49	72	76
SEL1L2	0	0	0	0	0	0
MACROD2	3	14	4	9	12	9
FLRT3	153	366	137	146	237	264
MACROD2-AS1	0	0	0	0	0	0
KIF16B	130	141	180	110	163	202
SNRPB2	432	403	446	388	469	628
OTOR	0	0	0	0	0	0
PCSK2	0	0	0	0	0	0
BFSP1	48	50	43	13	47	48
DSTN	2122	2650	2502	1815	2880	2890
RRBP1	4085	3171	3450	1094	4115	3555
BANF2	0	0	0	0	0	0
SNX5	489	452	499	289	490	556
SNORD17	1	3	7	0	1	0
MGME1	121	178	167	99	153	177
OVOL2	0	0	0	0	0	0
PET117	7	7	6	6	8	7
CSRP2BP	153	167	140	91	183	201
ZNF133	60	68	76	26	86	98
LINC00851	0	0	0	0	0	0
DZANK1	6	18	7	6	15	7
POLR3F	105	124	111	102	120	179
MIR3192	0	0	0	0	0	0
RBBP9	196	243	196	207	297	315
SEC23B	495	595	642	360	712	655
LINC00493	142	172	143	83	171	192
DTD1	382	388	409	170	418	432
LINC00652	0	0	0	0	0	0
LOC100270804	0	1	1	4	2	2
C20orf78	0	0	0	0	0	0
SCP2D1	0	0	0	0	0	0
SLC24A3	0	0	2	0	0	0
LOC100130264	0	0	0	0	0	0
RIN2	372	454	403	163	237	283
NAA20	376	291	397	261	472	523
CRNKL1	345	371	342	256	396	502
C20orf26	0	0	0	0	0	0
INSM1	0	0	0	0	0	0
RALGAPA2	119	196	133	88	213	249
PLK1S1	67	65	57	42	62	60
XRN2	767	967	965	641	1056	1248
NKX2-4	0	0	0	0	0	0
NKX2-2	0	0	0	0	0	0
PAX1	0	0	0	0	0	0
LOC100270679	0	0	0	0	0	0
LOC284788	0	0	0	0	0	0
LINC00261	0	0	0	0	0	0
FOXA2	0	0	0	0	0	0
SSTR4	0	0	0	0	0	0
THBD	189	4	61	0	3	0
CD93	2	0	0	0	0	1
LINC00656	0	0	0	0	0	0
NXT1	87	57	81	21	83	74
GZF1	178	184	163	105	238	201
NAPB	26	39	45	15	37	54
CSTL1	0	0	0	0	0	0
CST11	0	0	0	0	0	0
CST8	0	0	0	0	0	0
CST13P	0	0	0	0	0	0
CST9L	0	0	0	0	0	0
CST9	0	0	0	0	0	0
CST3	2963	2166	2760	260	2362	1896
CST4	0	0	0	0	0	0
CST1	0	0	3	1	0	0
CST2	0	0	0	0	0	0
CST5	0	0	0	0	0	0
GGTLC1	0	0	0	0	0	0
FLJ33581	0	0	0	0	0	0
SYNDIG1	16	25	11	2	12	9
CST7	0	0	0	0	0	0
APMAP	1473	1748	1439	509	1848	1745
ACSS1	7	10	24	3	13	23
VSX1	0	0	0	0	0	0
LOC284798	0	0	0	0	0	0
ENTPD6	931	1059	890	218	1083	977
PYGB	9471	8784	11246	3516	17846	15666
ABHD12	447	476	320	104	493	465
GINS1	70	113	105	68	72	90
NINL	63	136	63	15	85	84
NANP	96	90	120	63	108	119
ZNF337	61	78	81	60	106	119
FAM182B	0	0	0	0	0	1
LOC100134868	0	0	0	0	0	0
FAM182A	0	0	0	0	0	0
NCOR1P1	0	0	0	0	0	0
LOC284801	4	3	4	0	1	2
MIR663A	0	0	0	0	0	0
FRG1B	17	26	24	57	55	92
MLLT10P1	0	0	0	0	0	0
DEFB115	0	0	0	0	0	0
DEFB116	0	0	0	0	0	0
DEFB118	0	0	0	0	0	0
DEFB119	0	0	0	0	0	0
DEFB121	0	0	0	0	0	0
DEFB122	0	0	0	0	0	0
DEFB123	0	0	0	0	0	0
DEFB124	0	0	0	0	0	0
REM1	0	0	0	0	0	0
LINC00028	0	0	0	0	0	0
HM13	1230	1222	1141	427	1792	1408
PSIMCT-1	11	23	15	19	23	30
HM13-AS1	0	0	0	2	0	0
ID1	211	414	558	224	830	783
MIR3193	0	0	0	0	0	0
COX4I2	0	0	0	0	0	0
BCL2L1	1188	1133	965	234	1551	1099
TPX2	713	1077	1283	801	734	695
MYLK2	0	4	0	0	2	0
FOXS1	37	10	2	2	12	2
DUSP15	1	2	1	1	0	3
TTLL9	0	0	0	0	0	1
PDRG1	99	103	96	18	102	91
XKR7	0	0	0	0	0	0
CCM2L	0	0	0	0	0	0
HCK	0	2	2	1	1	2
TM9SF4	1049	1167	1016	389	1384	1225
TSPY26P	12	16	21	2	17	18
PLAGL2	181	253	252	43	273	261
POFUT1	1042	1147	1102	342	1302	1146
KIF3B	754	868	902	465	1149	1156
ASXL1	594	728	759	253	800	786
C20orf112	508	662	629	245	718	613
LOC149950	0	0	0	0	0	0
C20orf203	0	1	0	0	0	1
COMMD7	271	374	268	104	358	390
DNMT3B	14	38	27	13	19	25
MAPRE1	1330	1646	1365	880	1553	1641
SUN5	0	0	0	0	0	0
BPIFB2	0	0	0	0	0	0
BPIFB6	0	0	0	0	0	0
BPIFB3	0	0	0	0	0	0
BPIFB4	0	0	0	0	0	0
BPIFA2	0	0	0	0	0	0
BPIFA4P	0	0	0	0	0	0
BPIFA3	0	0	0	0	0	0
BPIFA1	0	0	0	0	0	0
BPIFB1	0	0	0	0	0	0
CDK5RAP1	91	112	99	38	126	111
SNTA1	211	217	106	12	145	152
CBFA2T2	179	249	188	58	267	281
NECAB3	50	41	41	3	47	28
C20orf144	0	0	0	0	0	0
ACTL10	12	5	3	1	7	5
E2F1	49	58	64	10	55	44
PXMP4	71	68	68	37	71	80
ZNF341	41	33	18	4	35	28
CHMP4B	839	727	711	405	907	999
RALY	1237	1277	1176	257	1097	995
MIR4755	0	0	0	0	0	0
EIF2S2	661	624	647	637	793	901
ASIP	0	1	0	0	0	0
AHCY	1336	1378	1168	264	1351	1176
ITCH	577	849	831	587	956	1042
MIR644A	0	0	0	0	0	0
DYNLRB1	807	684	711	345	925	824
MAP1LC3A	162	155	90	16	120	93
PIGU	210	231	230	119	365	269
TP53INP2	395	473	306	113	504	436
NCOA6	532	768	742	303	876	851
HMGB3P1	0	0	0	0	0	0
GGT7	190	208	114	20	176	143
ACSS2	319	325	282	73	334	343
GSS	491	525	480	155	572	506
MYH7B	1	1	0	1	0	1
MIR499A	0	0	0	0	0	0
MIR499B	0	0	0	0	0	0
TRPC4AP	1038	1068	1023	408	1208	1190
EDEM2	247	220	235	67	254	253
PROCR	213	165	161	49	161	180
MMP24	70	112	34	14	89	83
EIF6	1109	1059	1280	307	1224	1026
FAM83C	0	0	0	0	0	0
UQCC	233	238	241	120	297	284
GDF5	141	112	184	26	173	152
CEP250	463	557	700	266	745	680
C20orf173	0	0	0	0	0	0
ERGIC3	1737	1562	1462	359	1663	1773
SPAG4	7	2	5	0	6	6
CPNE1	695	781	699	184	652	640
RBM12	574	809	838	397	904	993
NFS1	192	166	206	75	277	254
ROMO1	378	406	460	87	573	464
RBM39	856	1075	1000	698	1146	1460
PHF20	401	545	469	276	570	602
SCAND1	266	173	172	16	159	103
CNBD2	0	0	0	0	2	0
LINC00657	2734	2860	2932	2188	3699	3854
EPB41L1	470	526	492	207	741	619
AAR2	360	429	371	78	471	405
DLGAP4	1618	1654	1450	387	1937	1293
MYL9	4775	4811	2984	722	3465	2239
TGIF2	138	154	112	38	122	113
TGIF2-C20orf24	0	0	0	0	0	0
C20orf24	59	51	51	3	29	31
SLA2	0	0	1	0	2	0
NDRG3	324	334	290	138	490	427
DSN1	76	85	125	66	80	104
SOGA1	429	844	681	173	790	540
C20orf118	0	0	1	40	0	0
SAMHD1	363	417	608	417	687	895
RBL1	71	141	151	103	125	136
MROH8	6	8	15	4	12	15
RPN2	3337	3796	3519	1561	4261	3938
GHRH	0	0	0	0	0	0
MANBAL	363	348	324	90	382	356
SRC	350	389	282	71	310	280
